booking_val_per_km,pickup_location,booking_value,ride_distance,booking_status,long_ride,time_period,day,High_value_booking,hour,vehicle_type,weekend,drop_location
,Palam_Vihar,,,No_Driver_Found,0,afternoon,23,0,12,Ebike,1,Jhilmil
41.361256544502616,Shastri_Nagar,237.0,5.73,Incomplete,0,evening,29,1,18,Go_Sedan,0,Gurgaon_Sector_56
46.17083946980854,Khandsa,627.0,13.58,Completed,0,morning,23,1,8,Auto,0,Malviya_Nagar
12.228101116990004,Central_Secretariat,416.0,34.02,Completed,0,evening,21,0,17,Premier_Sedan,0,Inderlok
15.287284795685542,Ghitorni_Village,737.0,48.21,Completed,1,night,16,0,22,Bike,0,Khan_Market
65.15463917525774,Aiims,316.0,4.85,Completed,0,morning,6,1,9,Auto,0,Narsinghpur
15.518913676042676,Vaishali,640.0,41.24,Completed,1,evening,17,0,15,Go_Mini,0,Punjabi_Bagh
20.731707317073173,Mayur_Vihar,136.0,6.56,Completed,0,evening,19,0,17,Auto,0,Cyber_Hub
,Noida_Sector_62,,,No_Driver_Found,0,afternoon,14,0,12,Go_Sedan,1,Noida_Sector_18
13.03088803088803,Rohini,135.0,10.36,Incomplete,0,evening,16,0,19,Auto,0,Adarsh_Nagar
9.122983870967742,Udyog_Bhawan,181.0,19.84,Completed,0,evening,14,0,16,Auto,0,Dwarka_Sector_21
,Vidhan_Sabha,,,No_Driver_Found,0,morning,18,0,8,Auto,0,Aiims
,Patel_Chowk,,,Cancelled_By_Driver,0,night,25,0,22,Ebike,0,Kherki_Daula_Toll
18.37686567164179,Malviya_Nagar,394.0,21.44,Completed,0,evening,11,0,19,Go_Mini,0,Ghitorni_Village
21.137800252844503,Madipur,836.0,39.55,Completed,0,evening,18,0,18,Go_Mini,0,Gtb_Nagar
11.795166858457998,Jama_Masjid,410.0,34.76,Completed,0,evening,7,0,15,Auto,0,Khan_Market
18.252162039144288,Igi_Airport,401.0,21.97,Completed,0,morning,1,0,10,Premier_Sedan,0,Madipur
,Vinobapuri,,,Cancelled_By_Driver,0,evening,15,0,15,Go_Sedan,1,Gtb_Nagar
,Kashmere_Gate,,,Cancelled_By_Customer,0,morning,24,0,9,Ebike,1,Anand_Vihar
,Pitampura,,,Cancelled_By_Driver,0,evening,24,0,19,Ebike,0,Rajiv_Nagar
19.35483870967742,Punjabi_Bagh,264.0,13.64,Completed,0,night,14,0,21,Go_Sedan,1,Mansarovar_Park
40.66666666666666,Greater_Noida,183.0,4.5,Completed,0,morning,29,1,6,Auto,0,Botanical_Garden
18.748356560610045,Tis_Hazari,713.0,38.03,Completed,0,morning,23,0,11,Go_Mini,0,Imt_Manesar
7.777013076393668,Noida_Sector_18,113.0,14.53,Completed,0,night,9,0,20,Go_Mini,1,Old_Gurgaon
103.78890392422193,Kanhaiya_Nagar,767.0,7.39,Completed,0,evening,28,1,16,Auto,0,Anand_Vihar
48.38709677419354,Okhla,495.0,10.23,Completed,0,morning,8,1,6,Uber_Xl,0,Barakhamba_Road
,Cyber_Hub,,,Cancelled_By_Driver,0,morning,26,0,9,Auto,0,Saket
,Sadar_Bazar_Gurgaon,,,No_Driver_Found,0,evening,12,0,19,Premier_Sedan,0,Mehrauli
153.53535353535355,Shastri_Park,304.0,1.98,Incomplete,0,evening,5,1,18,Bike,0,Botanical_Garden
72.60902830910481,Faridabad_Sector_15,2847.0,39.21,Completed,0,afternoon,3,1,12,Auto,1,Malviya_Nagar
,Qutub_Minar,,,Cancelled_By_Driver,0,evening,18,0,17,Go_Mini,1,Vishwavidyalaya
33.73205741626794,Mundka,282.0,8.36,Completed,0,late night,15,1,5,Go_Mini,0,Preet_Vihar
102.660406885759,Dlf_City_Court,656.0,6.39,Completed,0,evening,4,1,18,Premier_Sedan,1,Nehru_Place
2.8718388341191603,Tis_Hazari,134.0,46.66,Completed,1,afternoon,29,0,14,Auto,0,Shahdara
,New_Colony,,,Cancelled_By_Driver,0,evening,13,0,19,Go_Sedan,1,Ghitorni_Village
17.36239379386775,Nirman_Vihar,470.0,27.07,Completed,0,evening,7,0,19,Go_Sedan,0,Malviya_Nagar
15.37828947368421,New_Delhi_Railway_Station,187.0,12.16,Completed,0,afternoon,16,0,13,Auto,0,Noida_Film_City
18.09338521400778,Civil_Lines_Gurgaon,186.0,10.28,Completed,0,late night,2,0,3,Premier_Sedan,0,Mandi_House
1.5758667266996849,Seelampur,70.0,44.42,Completed,1,evening,26,0,15,Ebike,0,Janakpuri
,Noida_Extension,,,Cancelled_By_Customer,0,afternoon,10,0,13,Bike,0,Udyog_Vihar_Phase_4
,Adarsh_Nagar,,,Cancelled_By_Driver,0,morning,12,0,9,Auto,0,Civil_Lines_Gurgaon
7.881062355658199,Vinobapuri,273.0,34.64,Completed,0,morning,24,0,10,Auto,0,Karkarduma
52.78688524590164,Panipat,966.0,18.3,Incomplete,0,evening,12,1,19,Premier_Sedan,0,Tagore_Garden
,Karol_Bagh,,,Cancelled_By_Driver,0,evening,2,0,19,Auto,0,Tagore_Garden
12.003825920612147,Sultanpur,251.0,20.91,Completed,0,night,1,0,21,Go_Sedan,0,Noida_Extension
,Moti_Nagar,,,Cancelled_By_Driver,0,night,18,0,21,Go_Mini,0,Anand_Vihar_Isbt
,Shastri_Park,,,Cancelled_By_Customer,0,morning,2,0,7,Auto,0,Anand_Vihar_Isbt
23.544698544698548,Dilshad_Garden,453.0,19.24,Incomplete,0,afternoon,30,0,13,Bike,0,Nehru_Place
30.258302583025827,Dilshad_Garden,246.0,8.13,Completed,0,late night,16,1,0,Go_Sedan,1,Nehru_Place
80.06756756756756,Aya_Nagar,237.0,2.96,Completed,0,morning,18,1,9,Auto,0,Karkarduma
868.6813186813187,Rajiv_Chowk,1581.0,1.82,Incomplete,0,night,4,1,21,Go_Mini,1,Central_Secretariat
11.47094430992736,Mg_Road,379.0,33.04,Completed,0,evening,3,0,18,Go_Mini,0,Hauz_Rani
12.192393736017896,Jasola,545.0,44.7,Completed,1,night,3,0,22,Go_Mini,0,Palam_Vihar
64.90514905149051,Kashmere_Gate,479.0,7.38,Completed,0,morning,25,1,11,Go_Mini,1,Rk_Puram
,Ardee_City,,,Cancelled_By_Driver,0,evening,4,0,17,Go_Sedan,0,Basai_Dhankot
25.95266746891296,Punjabi_Bagh,647.0,24.93,Completed,0,late night,10,1,5,Go_Mini,1,Madipur
,Meerut,,,Cancelled_By_Driver,0,morning,11,0,10,Auto,0,Badarpur
,Anand_Vihar_Isbt,,,No_Driver_Found,0,evening,11,0,15,Uber_Xl,0,Dwarka_Sector_21
4.968203497615263,Mayur_Vihar,125.0,25.16,Completed,0,morning,1,0,10,Premier_Sedan,1,Palam_Vihar
,Lajpat_Nagar,,,Cancelled_By_Driver,0,morning,9,0,10,Premier_Sedan,0,Ramesh_Nagar
7.676560900716479,Tughlakabad,375.0,48.85,Completed,1,afternoon,30,0,12,Premier_Sedan,0,Akshardham
12.699713232281852,Cyber_Hub,310.0,24.41,Completed,0,evening,25,0,16,Auto,1,Yamuna_Bank
